h,₁Hydrogen
na2cr2o7.2h2o,Sodium dichromate
nao2,Sodium dioxide
na2s2o4,Sodium dithionite
na4fe(cn)6,Sodium ferrocyanide
naf,Sodium fluoride
f6na2si,Sodium fluorosilicate
hcoona,Sodium formate
nah,Sodium hydride
nahco3,Sodium hydrogen carbonate (Sodium bicarbonate)
nash,Sodium hydrosulfide
naoh,Sodium hydroxide
nabro,Sodium hypobromite
naocl,Sodium hypochlorite
naio,Sodium hypoiodite
napo2h2,Sodium hypophosphite
naio3,Sodium iodate
nai,Sodium iodide
na2mno4,Sodium manganate
na2moo4,Sodium molybdate
na2pfo3,Sodium monofluorophosphate (MFP)
nano3,Sodium nitrate
nano2,Sodium nitrite
na2[fe(cn)5no].2h2o,Sodium nitroprusside
na2o,Sodium oxide
nabo3.h2o,Sodium perborate
nabro4,Sodium perbromate
2na2co3.3h2o2,Sodium percarbonate
naclo4,Sodium perchlorate
naio4,Sodium periodate
namno4,Sodium permanganate
na2o2,Sodium peroxide
na2co4,Sodium peroxycarbonate
nareo4,Sodium perrhenate
na2s2o8,Sodium persulfate
na3po4,Sodium phosphate; see trisodium phosphate
na2o4se,Sodium selenate
na2se,Sodium selenide
na2seo3,Sodium selenite
na2sio3,Sodium silicate
na2so4,Sodium sulfate
na2s,Sodium sulfide
na2so3,Sodium sulfite
c4h4na2o6,Sodium tartrate
na2teo3,Sodium tellurite
naalcl,Sodium tetrachloroaluminate
nabf,Sodium tetrafluoroborate
na3(sbs4).9h2o,Sodium thioantimoniate
nascn,Sodium thiocyanate
na2s2o3,Sodium thiosulfate
na2wo4,Sodium tungstate
na2o7u2,Sodium uranate
h4na2o4zn[7],Sodium zincate
na3po4,Trisodium phosphate
srbr2,Strontium bromide
srco3,Strontium carbonate
srcl2,Strontium chloride
srf2,Strontium fluoride
sr(oh)2,Strontium hydroxide
sri2,Strontium iodide
sr(no3)2,Strontium nitrate
sro,Strontium oxide
srtio3,Strontium titanate
s2f10,Disulfur decafluoride
h2s,Hydrogen sulfide (sulfane)
h2s2o7,Pyrosulfuric acid
h3no3s,Sulfamic acid
br2s,Sulfur dibromide
so2,Sulfur dioxide
sf6,Sulfur hexafluoride
sf4,Sulfur tetrafluoride
h2so4,Sulfuric acid
h2so3,Sulfurous acid
so2cl2,Sulfuryl chloride
s4n4,Tetrasulfur tetranitride
h2so5,Persulfuric acid (Caro's acid)
tac,Tantalum carbide
taf5,Tantalum pentafluoride
ta2o5,Tantalum oxide
tcf6,Technetium hexafluoride
te2br,Ditellurium bromide
h6teo6,Telluric acid
teo2,Tellurium dioxide
tef6,Tellurium hexafluoride
tebr4,Tellurium tetrabromide
tecl4,Tellurium tetrachloride
tef4,Tellurium tetrafluoride
tei4,Tellurium tetraiodide
h2teo3,Tellurous acid
tibr,Thallium bromide
tl2co3,Thallium carbonate
tlf,Thallium fluoride
tl2so4,Thallium sulfate
tl2o3,Thallium oxide
tl2(so4)2,Thallium sulfate
tli3,Thallium triiodide
socl2,Thionyl chloride
sof4,Thionyl tetrafluoride
cscl2,Thiophosgene
cl3ps,Thiophosphoryl chloride
th(no3)4,Thorium nitrate
th(so4)2,Thorium sulfate
tho2,Thorium dioxide
thf4,Thorium tetrafluoride
tmbr3,Thulium bromide
tmcl3,Thulium chloride
tm2o3,Thulium oxide
snh4,Stannate
snbr2,Tin bromide
sncl2,Tin chloride (stannous chloride)
snf2,Tin fluoride
sn(oh)2,Tin hydroxide
sni2,Tin iodide
sno,Tin oxide
snso4,Tin sulfate
sns,Tin sulfide
snbr4,Tin bromide
sncl4,Tin chloride
snf4,Tin fluoride
sni4,Tin iodide
sno2,Tin oxide
sns2,Tin sulfide
snse2,Tin selenide
snte,Tin telluride
(h3o)2[tif6],Hexafluorotitanic acid
ticl2,Titanium chloride
tio,Titanium oxide
tis,Titanium sulfide
tibr3,Titanium bromide
ticl3,Titanium chloride
tif3,Titanium fluoride
tii3,Titanium iodide
ti2o3,Titanium oxide
tip,Titanium phosphide
tibr4,Titanium bromide (titanium tetrabromide)
tic,Titanium carbide
ticl4,Titanium chloride (titanium tetrachloride)
tih4,Titanium hydride
tii4,Titanium iodide (titanium tetraiodide)
tic,Titanium carbide
tib2,Titanium diboride
tio2,Titanium dioxide (titanium oxide)
tise2,Titanium diselenide
tisi2,Titanium disilicide
tis2,Titanium disulfide
ti(no3)4,Titanium nitrate
tin,Titanium nitride
ti(clo4)4,Titanium perchlorate
ti3sic2,Titanium silicon carbide
tibr4,Titanium tetrabromide
tif4,Titanium tetrafluoride
tii4,Titanium tetraiodide
tioso4,Titanyl sulfate
wcl6,Tungsten chloride
wf6,Tungsten fluoride
wb2,Tungsten boride
wc,Tungsten carbide
h2wo4,Tungstic acid
w(co)6,Tungsten hexacarbonyl
u3o8,Triuranium octaoxide (pitchblende or yellowcake)
uf6,Uranium hexafluoride
uf5,Uranium pentafluoride
u(so4)2,Uranium sulfate
ucl4,Uranium tetrachloride
uf4,Uranium tetrafluoride
uo2co3,Uranyl carbonate
uo2cl2,Uranyl chloride
uo2f2,Uranyl fluoride
uo2(oh)2,Uranyl hydroxide
(uo2)2(oh)4,Uranyl hydroxide
uo2(no3)2,Uranyl nitrate
uo2so4,Uranyl sulfate
vcl2,Vanadium chloride
vo,Vanadium oxide
vbr3,Vanadium bromide
vcl3,Vanadium chloride
vf3,Vanadium fluoride
vn,Vanadium nitride
v2o3,Vanadium oxide
vcl4,Vanadium chloride
vo2,Vanadium oxide
voso4,Vanadium sulfate
v2o5,Vanadium oxide
vc,Vanadium carbide
vocl3,Vanadium oxytrichloride (Vanadium oxide trichloride)
vf5,Vanadium pentafluoride
vcl4,Vanadium tetrachloride
vf4,Vanadium tetrafluoride
h2o,Water
h4xeo6,Perxenic acid
xef2,Xenon difluoride
xef6,Xenon hexafluoride
xe[ptf6],Xenon hexafluoroplatinate
xef4,Xenon tetrafluoride
xeo4,Xenon tetroxide
h2xeo4,Xenic acid
ybcl3,Ytterbium chloride
yb2o3,Ytterbium oxide
yb2(so4)3,Ytterbium sulfate
ysb,Yttrium antimonide
yaso4,Yttrium arsenate
yas,Yttrium arsenide
ybr3,Yttrium bromide
yf3,Yttrium fluoride
y2o3,Yttrium oxide
y(no3)3,Yttrium nitrate
y2s3,Yttrium sulfide
y2(so4)3,Yttrium sulfate
y3al5o12,Yttrium aluminium garnet
yba2cu3o7,Yttrium barium copper oxide
ycd,Yttrium cadmium
ycu,Yttrium copper
yau,Yttrium gold
yir,Yttrium iridium
y3fe5o12,Yttrium iron garnet
ymg,Yttrium magnesium
ypo4,Yttrium phosphate
yp,Yttrium phosphide
yrh,Yttrium rhodium
yag,Yttrium silver
yzn,Yttrium zinc
znbr2,Zinc bromide
znco3,Zinc carbonate
zncl2,Zinc chloride
zn(cn)2,Zinc cyanide
znf2,Zinc fluoride
zni2,Zinc iodide
zn(no3)2,Zinc nitrate
zno,Zinc oxide
zn2p2o7,Zinc pyrophosphate
znseo4,Zinc selenate
znse,Zinc selenide
znseo3,Zinc selenite
zn(secn)2,Zinc selenocyanate
znso4,Zinc sulfate
zns,Zinc sulfide
znso3,Zinc sulfite
znte,Zinc telluride
zn(scn)2,Zinc thiocyanate
znwo4,Zinc tungstate
zro2.nh2o,Zirconia hydrate
zrb2,Zirconium boride
zrc,Zirconium carbide
zrcl4,Zirconium chloride
zro2,Zirconium oxide
zr(oh)4,Zirconium hydroxide
zrsio4,Zirconium orthosilicate
zrn,Zirconium nitride
zrf4,Zirconium tetrafluoride
h4o4zr,Zirconium tetrahydroxide
zrw2o8,Zirconium tungstate
zrobr2,Zirconyl bromide
zrocl2,Zirconyl chloride
zro(no3)2,Zirconyl nitrate
zroso4,Zirconyl sulfate
aluminium antimonide,AlSb
aluminium arsenate,AlAsO₄.₈H₂O
aluminium arsenide,AlAs
aluminium boride,AlB₂
aluminium bromide,AlBr₃
aluminium carbide,Al₄C₃
aluminium iodide,AlI₃
aluminium nitride,AlN
aluminium oxide,Al₂O₃
aluminium phosphide,AlP
aluminium chloride,AlCl₃
aluminium fluoride,AlF₃
aluminium hydroxide,Al(OH)₃
aluminium nitrate,Al(NO₃)₃
aluminium sulfide,Al₂S₃
aluminium sulfate,Al₂(SO₄)₃
aluminium potassium sulfate,AlK(SO₄)₂
ammonia,NH₃
ammonium azide,NH₄N₃
ammonium bicarbonate,NH₄HCO₃
ammonium bisulfate,NH₄HSO₄
ammonium chromate,(NH₄)₂CrO₄
ammonium cerium nitrate,(NH₄)₂Ce(NO₃)₆
ammonium cerium sulfate,(NH₄)₄Ce(SO₄)₄
ammonium chloride,NH₄Cl
ammonium chlorate,NH₄ClO₃
ammonium cyanide,NH₄CN
ammonium dichromate,(NH₄)₂Cr₂O₇
ammonium dihydrogen phosphate,NH₄H₂PO₄
ammonium hydroxide,NH₄OH
ammonium hexachloroplatinate,(NH₄)₂(PtCl₆)
ammonium nitrate,NH₄NO₃
ammonium orthomolybdate,(NH₄)₂MoO₄
ammonium sulfamate,H₆N₂O₃S
ammonium sulfide,(NH₄)₂S
ammonium sulfite,(NH₄)₂SO₃
ammonium sulfate,(NH₄)₂SO₄
ammonium perchlorate,NH₄ClO₄
ammonium permanganate,NH₄MnO₄
ammonium persulfate,(NH₄)₂S₂O₈
ammonium tetrathiocyanatodiamminechromate(iii),NH₄[Cr(SCN)₄(NH₃)₂]
ammonium thiocyanate,NH₄SCN
ammonium triiodide,NH₄I₃
diammonium dioxidomolybdenum,H₈MoN₂O₄[₁]
diammonium dioxomolybdenum,H₈MoN₂O₄[₁]
diammonium phosphate,(NH₄)₂HPO₄
antimony hydride,SbH₃
antimony pentachloride,SbCl₅
antimony pentafluoride,SbF₅
antimony potassium tartrate,K₂Sb₂(C₄H₂O₆)₂
antimony sulfate,Sb₂(SO₄)₃
antimony trifluoride,SbF₃
antimony trioxide,Sb₂O₃
antimony trisulfide,Sb₂S₃
antimony pentasulfide,Sb₂S₅
argon fluorohydride,HArF
arsenic trifluoride,AsF₃
arsenic pentafluoride,AsF₅
arsenic trioxide,As₂O₃
arsenic oxide,As₂O₃
arsenous acid,As(OH)₃
arsenic acid,AsO(OH)₃
arsine,AsH₃
barium azide,Ba(N₃)₂
barium bromide,BaBr₂
barium carbonate,BaCO₃
barium chlorate,Ba(ClO₃)₂
barium chloride,BaCl₂
barium chromate,BaCrO₄
barium ferrate,BaFeO₄
barium ferrite,BaFe₁₂O₁₉
barium fluoride,BaF₂
barium hydroxide,Ba(OH)₂
barium iodide,BaI₂
barium manganate,BaMnO₄
barium nitrate,Ba(NO₃)₂
barium oxalate,Ba(C₂O₄)
barium oxide,BaO
barium permanganate,Ba(MnO₄)₂
barium peroxide,BaO₂
barium sulfate,BaSO₄
barium sulfide,BaS
barium titanate,BaTiO₃
beryllium borohydride,Be(BH₄)₂
beryllium bromide,BeBr₂
beryllium carbonate,BeCO₃
beryllium chloride,BeCl₂
beryllium fluoride,BeF₂
beryllium hydride,BeH₂
beryllium hydroxide,Be(OH)₂
beryllium iodide,BeI₂
beryllium nitrate,Be(NO₃)₂
beryllium nitride,Be₃N₂
beryllium oxide,BeO
beryllium sulfate,BeSO₄
beryllium sulfite,BeSO₃
beryllium telluride,BeTe
bismuth oxide,Bi₂O₃
bismuth telluride,Bi₂Te₃
bismuth ferrite,BeFeO₃
bismuth oxychloride,BiOCl
bismuth pentafluoride,BiF₅
bismuth tribromide,BiBr₃
borane,BH₃
borax,Na₂B₄O₇·₁₀H₂O
boric acid,H₃BO₃
boron carbide,B₄C
boron nitride,BN
boron suboxide,B₆O
boron trichloride,BCl₃
boron trifluoride,BF₃
boron oxide,B₂O₃
decaborane (diborane),B₁₀H₁₄
diborane,B₂H₆
diboron tetrafluoride,B₂F₄
pentaborane,B₅H₉
tetraborane,B₄H₁₀
bromine monochloride,BrCl
bromine pentafluoride,BrF₅
bromine trifluoride,BrF₃
perbromic acid,HBrO₄
cadmium arsenide,Cd₃As₂
cadmium bromide,CdBr₂
cadmium chloride,CdCl₂
cadmium fluoride,CdF₂
cadmium iodide,CdI₂
cadmium nitrate,Cd(NO₃)₂
cadmium oxide,CdO
cadmium selenide,CdSe
cadmium sulfate,CdSO₄
cadmium sulfide,CdS
cadmium telluride,CdTe
caesium bicarbonate,CsHCO₃
caesium carbonate,Cs₂CO₃
caesium chloride,CsCl
caesium chromate,Cs₂CrO₄
caesium fluoride,CsF
caesium hydride,CsH
caesium hydrogen sulfate,CsHSO₄
caesium sulfate,Cs₂SO₄
calcium bromide,CaBr₂
calcium carbide,CaC₂
calcium carbonate,CaCO₃
calcium chlorate,Ca(ClO₃)₂
calcium chloride,CaCl₂
calcium chromate,CaCrO₄
calcium cyanamide,CaCN₂
calcium fluoride,CaF₂
calcium hydride,CaH₂
calcium hydroxide,Ca(OH)₂
calcium monosilicide,CaSi
calcium oxalate,Ca(C₂O₄)
calcium oxychloride,CaOCl₂
calcium perchlorate,Ca(ClO₄)₂
calcium permanganate,Ca(MnO₄)₂
calcium sulfate,CaSO₄
carbon dioxide,CO₂
carbon disulfide,CS₂
carbon monoxide,CO
carbon tetrabromide,CBr₄
carbon tetrachloride,CCl₄
carbon tetrafluoride,CF₄
carbon tetraiodide,CI₄
carbonic acid,H₂CO₃
carbonyl chloride,COCl₂
carbonyl fluoride,COF₂
carbonyl sulfide,COS
carboplatin,C₆H₁₂N₂O₄Pt
carborundum,SiC
cerium bromide,CeBr₃
cerium carbonate,Ce₂(CO₃)₃
cerium chloride,CeCl₃
cerium fluoride,CeF₃
cerium hydroxide,Ce(OH)₃
cerium iodide,CeI₃
cerium nitrate,Ce(NO₃)₃
cerium oxide,Ce₂O₃
cerium sulfate,Ce₂(SO₄)₃
cerium hydroxide,Ce(OH)₄
cerium nitrate,Ce(NO₃)₄
cerium oxide,CeO₂
cerium sulfate,Ce(SO₄)₂
"cerium(iii,iv) oxide",Ce₃O₄
ceric ammonium nitrate,(NH₄)₂Ce(NO₃)₆
cerium hexaboride,CeB₆
cerium aluminium,CeAl
cerium cadmium,CeCd
cerium magnesium,CeMg
cerium mercury,CeHg
cerium silver,CeAg
cerium thallium,CeTl
cerium zinc,CeZn
chloric acid,HClO₃
chlorine azide,ClN₃
chlorine dioxide,ClO₂
chlorine monofluoride,ClF
chlorine monoxide,ClO
chlorine pentafluoride,ClF₅
chlorine perchlorate,Cl₂O₄
chlorine tetroxide,O₃ClOOClO₃
chlorine trifluoride,ClF₃
chlorine trioxide,ClO₃
chloroplatinic acid,H₂PtCl₆
chloryl fluoride,ClO₂F
cisplatin,PtCl₂(NH₃)₂
dichlorine monoxide,Cl₂O
dichlorine dioxide,Cl₂O₂
dichlorine trioxide,Cl₂O₃
dichlorine tetroxide,ClOClO₃
chlorine perchlorate,ClOClO₃
dichlorine hexoxide,Cl₂O₆
dichlorine heptoxide,Cl₂O₇
dichlorosilane,SiH₂Cl
perchloric acid,HClO₄
perchloryl fluoride,ClO₃F
tetrachloroauric acid,HAuCl₄
chromic acid,CrO₃
chromium trioxide (chromic acid),CrO₃
chromium chloride,CrCl₂ (also chromous chloride)
chromium sulfate,CrSO₄
chromium chloride,CrCl₃
chromium nitrate,Cr(NO₃)₃
chromium oxide,Cr₂O₃
chromium sulfate,Cr₂(SO₄)₃
chromium telluride,Cr₂Te₃
chromium oxide,CrO₂
chromium pentafluoride,CrF₅
chromyl chloride,CrO₂Cl₂
chromyl fluoride,CrO₂F₂
cobalt bromide,CoBr₂
cobalt carbonate,CoCO₃
cobalt chloride,CoCl₂
cobalt nitrate,Co(NO₃)₂
cobalt sulfate,CoSO₄
cobalt fluoride,CoF₃
copper acetylide,Cu₂C₂
copper chloride,CuCl
copper fluoride,CuF
copper oxide,Cu₂O
copper sulfate,CuSO₄
copper sulfide,Cu₂S
copper azide,Cu(N₃)₂
copper carbonate,CuCO₃
copper chloride,CuCl₂
copper hydroxide,Cu(OH)₂
copper nitrate,Cu(NO₃)₂
copper oxide,CuO
copper sulfate,CuSO₄ and the pentahydrate CuSO₄·₅H₂O
copper sulfide,CuS
copper oxychloride,H₃ClCu₂O₃[₂]
tetramminecopper sulfate,[Cu(NH₃)₄]SO₄
cyanogen bromide,CNBr
cyanogen chloride,CNCl
cyanogen iodide,ICN
cyanogen,(CN)₂
cyanuric chloride,C₃Cl₃N₃
cyanogen thiocyanate,CNSCN[₃]
cyanogen selenocyanate,CNSeCN[₃]
cyanogen azide,CNN₃[₃]
disilane,Si₂H₆
disulfur dichloride,S₂Cl₂
dysprosium chloride,DyCl₃
dysprosium oxide,Dy₂O₃
dysprosium titanate,Dy₂Ti₂O₇
erbium chloride,ErCl₃
erbium-copper,ErCu
erbium-gold,ErAu
erbium-silver,ErAg
erbium-iridium,ErIr
europium chloride,EuCl₂
europium sulfate,EuSO₄
europium bromide,EuBr₃
europium chloride,EuCl₃
europium iodate,Eu(IO₃)₃
europium iodide,EuI₃
europium nitrate,Eu(NO₃)₃
europium oxide,Eu₂O₃
europium perchlorate,Eu(ClO₄)₃
europium sulfate,Eu₂(SO₄)₃
europium vanadate,EuVO₄
fluoroantimonic acid,SbHF₆
tetrafluorohydrazine,N₂F₄
trifluoromethylisocyanide,C₂NF₃
trifluoromethanesulfonic acid,CF₃SO₃H
gadolinium chloride,GdCl₃
gadolinium oxide,Gd₂O₃
gallium antimonide,GaSb
gallium arsenide,GaAs
gallium fluoride,GaF₃
gallium trichloride,GaCl₃
gallium nitride,GaN
gallium phosphide,GaP
gallium sulfide,GaS
gallium sulfide,Ga₂S₃
digermane,Ge₂H₆
germane,GeH₄
germanium bromide,GeBr₂
germanium chloride,GeCl₂
germanium fluoride,GeF₂
germanium iodide,GeI₂
germanium oxide,GeO
germanium selenide,GeSe
germanium sulfide,GeS
germanium bromide,GeBr₄
germanium chloride,GeCl₄
germanium fluoride,GeF₄
germanium iodide,GeI₄
germanium nitride,Ge₃N₄
germanium oxide,GeO₂
germanium selenide,GeSe₂
germanium sulfide,GeS₂
germanium difluoride,GeF₂
germanium dioxide,GeO₂
germanium tetrachloride,GeCl₄
germanium tetrafluoride,GeF₄
germanium telluride,GeTe
gold bromide,AuBr
gold chloride,AuCl
gold hydride,AuH
gold iodide,AuI
gold selenide,Au₂Se
gold sulfide,Au₂S
gold bromide,(AuBr₃)₂
gold chloride,(AuCl₃)₂
gold fluoride,AuF₃
gold iodide,AuI₃
gold oxide,Au₂O₃
gold selenide,Au₂Se₃
gold sulfide,Au₂S₃
gold fluoride,AuF₅
"gold(i,iii) chloride",Au₄Cl₈
gold ditelluride,AuTe₂
gold heptafluoride,AuF₅·F₂
hafnium bromide,HfBr₄
hafnium carbide,HfC
hafnium chloride,HfCl₄
hafnium fluoride,HfF₄
hafnium iodide,HfI₄
hafnium oxide,HfO₂
hafnium silicate,HfSiO₄
hafnium sulfide,HfS₂
hexadecacarbonylhexarhodium,Rh₆(CO)₁₆
hexafluorosilicic acid,H₂F₆Si
hydrazine,N₂H₄
hydrazoic acid,HN₃
hydroiodic acid,HI
hydrogen bromide,HBr
hydrogen chloride,HCl
hydrogen cyanide,HCN
hydrogen fluoride,HF
hydrogen peroxide,H₂O₂
hydrogen selenide,H₂Se
hydrogen sulfide,H₂S
hydrogen telluride,H₂Te
hydroxylamine,NH₂OH
hypobromous acid,HBrO
hypochlorous acid,HClO
hypophosphorous acid,H₃PO₂
metaphosphoric acid,HPO₃
protonated molecular hydrogen,H₃+
trioxidane,H₂O₃
sodium helide,Na₂He
indium bromide,InBr
indium bromide,InBr₃
indium chloride,InCl₃
indium fluoride,InF₃
indium oxide,In₂O₃
indium sulfate,In₂(SO₄)₃
indium antimonide,InSb
indium arsenide,InAs
indium nitride,InN
indium phosphide,InP
iodic acid,HIO₃
iodine heptafluoride,IF₇
iodine pentafluoride,IF₅
iodine monochloride,ICl
iodine trichloride,ICl₃
periodic acid,HIO₄
iridium chloride,IrCl₄
iridium fluoride,IrF₅
iridium hexafluoride,IrF₆
iridium tetrafluoride,IrF₄
columbite,Fe₂ Nb₂O₆
iron chloride,FeCl₂ including hydrate
iron oxalate,FeC₂O₄
iron oxide,FeO
iron selenate,FeSeO₄
iron sulfate,FeSO₄
iron chloride,FeCl₃
iron fluoride,FeF₃
iron oxalate,C₆Fe₂O₁₂
iron oxide,Fe₂O₃
iron nitrate,Fe(NO₃)₃(H₂O)₉
iron sulfate,Fe₂(SO₄)₃
iron thiocyanate,Fe(SCN)₃
"iron(ii,iii) oxide",Fe₃O₄
iron ferrocyanide,Fe₇(CN)₁₈
prussian blue,Fe₄[Fe(CN)₆]₃
iron hexacyanoferrate(ii),Fe₄[Fe(CN)₆]₃
krypton difluoride,KrF₂
lanthanum aluminium,LaAl
lanthanum cadmium,LaCd
lanthanum carbonate,La₂(CO₃)₃
lanthanum magnesium,LaMg
lanthanum manganite,LaMnO₃
lanthanum mercury,LaHg
lanthanum silver,LaAg
lanthanum tallium,LaTl
lanthanum zinc,LaZn
lead azide,Pb(N₃)₂
lead bromide,PbBr₂
lead carbonate,Pb(CO₃)
lead chloride,PbCl₂
lead fluoride,PbF ₂
lead hydroxide,Pb(OH)₂
lead iodide,PbI₂
lead nitrate,Pb(NO₃)₂
lead oxide,PbO
lead phosphate,Pb₃(PO₄)₂
lead sulfate,Pb(SO₄)
lead selenide,PbSe
lead sulfide,PbS
lead telluride,PbTe
lead thiocyanate,Pb(CNS)₂
lead(ii) oxide,Pb₃O₄
lead(iv) oxide,Pb₃O₄
lead oxide,PbO₂
lead sulfide,PbS₂
lead hydrogen arsenate,PbHAsO₄
lead styphnate,C₆HN₃O₈Pb
lead tetrachloride,PbCl₄
lead tetrafluoride,PbF₄
lead tetroxide,Pb₃O₄[₄]
lead titanate,PbTiO₃
lead zirconate titanate,"Pb[TixZr₁–x]O₃ (e.g., x = ₀.₅₂ is Lead zirconium titanate)"
plumbane,PbH₄
lithium tetrachloroaluminate,LiAlCl₄
lithium aluminium hydride,LiAlH₄
lithium bromide,LiBr
lithium borohydride,LiBH₄
lithium carbonate,Li₂CO₃
lithium chloride,LiCl
lithium hypochlorite,LiClO
lithium chlorate,LiClO₃
lithium perchlorate,LiClO₄
lithium cobalt oxide,LiCoO₂
lithium oxide,Li₂O
lithium peroxide,Li₂O₂
lithium hydride,LiH
lithium hydroxide,LiOH
lithium iodide,LiI
lithium iron phosphate,FeLiO₄P
lithium nitrate,LiNO₃
lithium sulfide,Li₂S
lithium sulfite,Li₂SO₃
lithium sulfate,Li₂SO₄
lithium superoxide,LiO₂
lithium hexafluorophosphate,LiPF₄
magnesium antimonide,MgSb
magnesium bromide,MgBr₂
magnesium carbonate,MgCO₃
magnesium chloride,MgCl₂
magnesium citrate,C₆H₆MgO₇
magnesium oxide,MgO
magnesium perchlorate,Mg(ClO₄)₂
magnesium phosphate,Mg₃(PO₄)₂
magnesium sulfate,MgSO₄
manganese bromide,MnBr₂
manganese chloride,MnCl₂
manganese hydroxide,Mn(OH)₂
manganese oxide,MnO
manganese phosphate,Mn₃(PO₄)₂
manganese sulfate,MnSO₄
manganese sulfate monohydrate,MnSO₄.H₂O
manganese chloride,MnCl₃
manganese oxide,Mn₂O₃
manganese fluoride,MnF₄
manganese oxide,MnO₂
manganese dioxide,MnO₂
manganese(ii) oxide,Mn₃O₄
manganese(iii) oxide,Mn₃O₄
manganese dioxide,MnO₂
manganese heptoxide,Mn₂O₇
mercury chloride,Hg₂Cl₂
mercury sulfate,Hg₂SO₄
mercury chloride,HgCl₂
mercury hydride,MgH₂
mercury selenide,HgSe
mercury sulfate,HgSO₄
mercury sulfide,HgS
mercury telluride,HgTe
mercury thiocyanate,Hg(SCN)₂
mercury fluoride,HgF₄
mercury fulminate,Hg(ONC)₂
molybdenum bromide,MoBr₂
molybdenum chloride,Mo₆Cl₁₂
molybdenum bromide,MoBr₃
molybdenum chloride,MoCl₃
molybdenum carbide,MoC
molybdenum chloride,MoCl₄
molybdenum fluoride,MoF₄
molybdenum chloride,Mo₂Cl₁₀
molybdenum fluoride,MoF₅
molybdenum disulfide,MoS₂
molybdenum hexacarbonyl,Mo(CO)₆
molybdenum hexafluoride,MoF₆
molybdenum tetrachloride,MoCl₄
molybdenum trioxide,MoO₃
molybdic acid,H₂MoO₄
neodymium chloride,NdCl₃
neptunium fluoride,NpF₃
neptunium fluoride,NpF₄
neptunium oxide,NpO₂
neptunium fluoride,NpF₆
nickel carbonate,NiCO₃
nickel chloride,NiCl₂ and hexahydrate
nickel fluoride,NiF₂
nickel hydroxide,Ni(OH)₂
nickel nitrate,Ni(NO₃)₂
nickel oxide,NiO
nickel sulfamate,Ni(SO₃NH₂)₂
nickel sulfide,NiS
niobium fluoride,NbF₄
niobium fluoride,NbF₅
niobium oxychloride,NbOCl₃
niobium pentachloride,NbCl₅
dinitrogen pentoxide,N₂O₅
nitronium nitrate,N₂O₅
dinitrogen tetrafluoride,N₂F₄
dinitrogen tetroxide,N₂O₄
dinitrogen trioxide,N₂O₃
nitric acid,HNO₃
nitrous acid,HNO₂
nitrogen dioxide,NO₂
nitrogen monoxide,NO
nitrous oxide,"N₂O (dinitrogen monoxide, laughing gas, NOS)"
nitrogen pentafluoride,NF₅
nitrogen triiodide,NI₃
nitrosonium octafluoroxenate(vi),(NO)
nitrosonium tetrafluoroborate,NOBF₄
nitrosylsulfuric acid,NOHSO₄
osmium hexafluoride,OsF₆
osmium tetroxide,OsO₄
osmium trioxide,OsO₃
oxybis,C₂₄H₅₄OSn₂
tributyltin,C₂₄H₅₄OSn₂
oxygen difluoride,OF₂
palladium chloride,PdCl₂
palladium nitrate,Pd(NO₃)₂
"palladium(ii,iv) fluoride",PdF₃
palladium sulfate,PdSO₄[₅]
palladium tetrafluoride,PdF₄
diphosphorus tetrachloride,P₂Cl₄
diphosphorus tetrafluoride,P₂F₄
diphosphorus tetraiodide,P₂I₄
phosphine,PH₃
phosphomolybdic acid,H₃PMo₁₂O₄₀
phosphoric acid,H₃PO₄
phosphorous acid (phosphoric acid),H₃PO₃
phosphorus pentabromide,PBr₅
phosphorus pentafluoride,PF₅
phosphorus pentasulfide,P₄S₁₀
phosphorus pentoxide,P₂O₅
phosphorus sesquisulfide,P₄S₃
phosphorus tribromide,PBr₃
phosphorus trichloride,PCl₃
phosphorus trifluoride,PF₃
phosphorus triiodide,PI₃
phosphotungstic acid,H₃PW₁₂O₄₀
platinum chloride,PtCl₂
platinum chloride,PtCl₄
platinum hexafluoride,PtF₆
platinum pentafluoride,PtF₅
platinum tetrafluoride,PtF₄
plutonium chloride,PuCl₃
plutonium dioxide,PuO₂
plutonium tetrafluoride,PuF₄
polonium hexafluoride,PoF₆
potash alum,K₂SO₄.Al₂(SO₄)₃·₂₄H₂O
potassium aluminium fluoride,KAlF₄
potassium amide,KNH₂
potassium argentocyanide,KAg(CN)₂
potassium arsenite,KAsO₂
potassium azide,KN₃
potassium borate,K₂B₄O₇•₄H₂O
potassium bromide,KBr
potassium bicarbonate,KHCO₃
potassium bifluoride,KHF₂
potassium bisulfite,KHSO₃
potassium carbonate,K₂CO₃
potassium calcium chloride,KCaCl₃
potassium chlorate,KClO₃
potassium chloride,KCl
potassium chlorite,KClO₂
potassium chromate,K₂CrO₄
potassium cyanide,KCN
potassium dichromate,K₂Cr₂O₇
potassium dithionite,K₂S₂O₄
potassium ferrate,K₂FeO₄
potassium ferrioxalate,K₃[Fe(C₂O₄)₃]
potassium ferricyanide,K₃[Fe(CN)]₆
potassium ferrocyanide,K₄[Fe(CN)]₆
potassium heptafluorotantalate,K₂[TaF₇]
potassium hexafluorophosphate,KPF₆
potassium hydrogen carbonate,KHCO₃
potassium hydrogen fluoride,KHF₂
potassium hydroxide,KOH
potassium iodide,KI
potassium iodate,KIO₃
potassium manganate,K₂MnO₄
potassium monopersulfate,K₂SO₄·KHSO₄·₂KHSO₅
